TankCap,CurrentLevel,Dwellers,AvgNeed,RainNext7,DryDays,ModeClass,PerPersonBudget
3000,346,3,135,0,13,0,7.1
8000,6296,7,135,100,23,0,31.28
12000,9914,3,135,10,2,2,377.68
5000,2058,2,135,0,11,1,74.84
5000,2591,7,135,30,27,0,10.97
3000,2054,3,135,50,12,0,45.64
10000,1432,6,135,0,1,0,27.28
3000,2862,4,135,10,2,1,81.77
10000,8980,2,135,30,4,2,513.14
5000,1674,3,135,10,10,0,44.64
3000,341,2,135,10,7,0,19.49
12000,11281,2,135,30,25,2,180.5
8000,4407,7,135,10,22,0,22.89
10000,5854,7,135,30,22,0,30.41
8000,5724,4,135,0,11,2,104.07
8000,5234,6,135,30,6,1,99.7
3000,2848,2,135,30,14,1,81.37
8000,7598,3,135,50,23,1,88.09
12000,10565,5,135,30,16,2,105.65
8000,5382,2,135,30,3,2,307.54
3000,2462,2,135,0,28,0,35.17
12000,8513,4,135,50,21,1,81.08
5000,3080,6,135,100,24,0,17.11
8000,1725,5,135,0,12,0,23.0
3000,2490,7,135,0,17,0,16.74
5000,4192,7,135,100,0,1,68.44
5000,3316,3,135,30,15,1,58.95
10000,8383,5,135,10,12,2,111.77
12000,8236,7,135,50,9,2,104.58
8000,2288,3,135,10,11,1,55.47
3000,1039,6,135,100,29,0,4.78
10000,2931,3,135,0,1,2,111.66
12000,5274,7,135,0,22,0,27.4
10000,1350,4,135,50,2,0,38.57
12000,7877,4,135,0,9,2,175.04
12000,4834,4,135,0,1,2,138.11
8000,5521,7,135,50,29,0,21.76
12000,5362,4,135,50,26,0,41.25
10000,7134,5,135,100,22,1,51.88
12000,4878,6,135,0,12,1,54.2
8000,2677,3,135,0,12,1,59.49
8000,4371,3,135,100,17,1,68.56
10000,7236,7,135,30,2,2,118.14
5000,2067,4,135,30,26,0,15.9
5000,4714,4,135,30,6,2,134.69
12000,1623,2,135,100,13,0,49.94
3000,1428,6,135,0,19,0,10.02
12000,11649,5,135,100,28,1,66.57
10000,5931,3,135,100,29,1,54.54
10000,4811,2,135,30,16,2,120.28
10000,6116,2,135,10,28,1,87.37
10000,6183,7,135,0,29,0,24.37
10000,7584,3,135,30,20,2,101.12
8000,1719,7,135,10,11,0,17.86
5000,1625,5,135,10,24,0,10.83
10000,6224,2,135,50,15,2,165.97
3000,2641,2,135,0,23,0,45.93
3000,1817,6,135,10,11,0,22.02
3000,944,5,135,30,14,0,10.79
3000,2135,2,135,50,24,0,35.58
8000,6127,5,135,0,9,2,108.92
3000,943,3,135,100,29,0,8.67
10000,4399,4,135,30,24,0,36.66
12000,6970,2,135,10,6,2,398.29
3000,1640,6,135,10,19,0,11.51
8000,3605,3,135,30,4,2,137.33
8000,2942,5,135,10,0,1,67.25
3000,569,7,135,50,29,0,2.24
12000,1777,3,135,0,16,0,29.62
3000,2888,2,135,50,2,2,165.03
8000,6899,5,135,10,12,1,91.99
5000,2097,4,135,100,13,0,32.26
10000,9611,3,135,0,23,2,111.43
8000,5672,2,135,0,29,1,78.23
3000,1602,6,135,30,17,0,12.56
10000,5437,7,135,30,3,1,88.77
3000,524,5,135,100,17,0,4.93
3000,547,3,135,0,29,0,5.03
5000,3210,3,135,100,4,2,122.29
10000,5983,4,135,30,24,0,49.86
10000,2914,4,135,30,15,0,38.85
5000,4757,6,135,0,0,1,90.61
8000,6425,7,135,50,20,0,36.71
3000,606,6,135,10,13,0,6.22
12000,11254,2,135,30,14,2,321.54
3000,2930,2,135,30,8,2,146.5
3000,2989,6,135,50,14,0,28.47
8000,1202,7,135,50,16,0,8.59
3000,2289,6,135,100,24,0,12.72
5000,2956,7,135,100,23,0,14.69
5000,3676,7,135,10,3,1,60.02
10000,9717,5,135,10,11,2,141.34
12000,8630,7,135,0,26,0,37.93
3000,2559,4,135,100,25,0,20.47
3000,2640,7,135,30,4,0,43.1
8000,6837,7,135,100,28,0,27.91
5000,2417,7,135,30,4,0,39.46
12000,3603,2,135,50,10,2,144.12
10000,4569,4,135,100,27,0,33.84
5000,4513,4,135,50,5,2,128.94
10000,2319,6,135,10,6,0,44.17
8000,4495,5,135,10,23,0,31.27
8000,2479,7,135,0,13,0,21.79
3000,1869,3,135,100,23,0,21.67
12000,10521,5,135,50,10,2,168.34
10000,8923,5,135,30,29,0,49.23
5000,1565,4,135,10,12,0,26.08
8000,7335,5,135,10,1,2,167.66
3000,1898,7,135,30,24,0,9.04
3000,1245,7,135,50,6,0,20.33
10000,7373,2,135,50,19,2,155.22
8000,4268,7,135,100,3,1,69.68
12000,5282,7,135,100,26,0,23.22
8000,5876,4,135,0,7,2,167.89
10000,3238,7,135,10,19,0,19.48
10000,3972,2,135,100,28,1,56.74
8000,3928,3,135,50,21,0,49.88
10000,3283,4,135,30,20,0,32.83
8000,3717,3,135,50,18,1,55.07
5000,3071,4,135,10,12,1,51.18
8000,6135,6,135,50,13,1,62.92
8000,6323,5,135,0,9,2,112.41
10000,8405,6,135,10,10,2,112.07
10000,7697,7,135,30,1,2,125.67
3000,2138,3,135,0,24,0,23.76
3000,941,7,135,10,25,0,4.3
5000,2301,5,135,30,8,0,46.02
3000,1589,4,135,0,16,0,19.86
8000,1396,5,135,0,25,0,8.93
10000,5755,2,135,10,2,2,328.86
3000,1478,5,135,100,23,0,10.28
3000,2465,2,135,0,5,2,140.86
5000,4900,5,135,0,4,2,112.0
5000,3002,2,135,30,4,2,171.54
8000,3123,3,135,50,21,0,39.66
10000,1390,7,135,10,14,0,11.35
5000,4660,7,135,10,22,0,24.21
3000,2781,6,135,100,16,0,23.18
10000,3276,7,135,100,8,0,46.8
10000,7258,4,135,10,2,2,207.37
3000,503,5,135,100,19,0,4.24
5000,1247,6,135,30,25,0,6.65
3000,885,4,135,10,16,0,11.06
10000,3650,4,135,100,28,0,26.07
12000,11954,2,135,10,26,2,183.91
12000,8726,7,135,50,9,2,110.81
8000,3566,3,135,0,2,2,135.85
3000,2290,3,135,10,17,0,35.92
3000,2771,6,135,0,17,0,21.73
8000,7702,3,135,100,29,1,70.82
8000,1216,5,135,0,16,0,12.16
8000,3640,3,135,10,23,0,42.2
10000,1960,6,135,50,2,0,37.33
3000,1206,3,135,100,2,0,45.94
10000,2527,5,135,10,5,1,57.76
8000,5457,2,135,100,12,2,181.9
3000,1348,6,135,30,23,0,7.81
10000,3064,2,135,0,28,0,43.77
10000,3393,2,135,30,14,1,96.94
8000,3394,2,135,10,24,1,56.57
3000,1001,4,135,50,8,0,25.02
8000,4063,7,135,100,3,1,66.33
3000,387,4,135,0,13,0,5.95
12000,4221,7,135,100,4,1,68.91
5000,2350,2,135,10,1,2,134.29
5000,3212,6,135,100,10,0,42.83
5000,1719,7,135,0,8,0,24.56
8000,1758,5,135,10,23,0,12.23
12000,2022,5,135,100,2,0,46.22
3000,2839,3,135,50,26,0,29.12
10000,4749,7,135,10,27,0,20.1
3000,1869,6,135,10,28,0,8.9
10000,9272,4,135,50,8,2,231.8
3000,523,2,135,30,2,0,29.89
12000,10667,3,135,0,24,2,118.52
10000,5964,5,135,30,1,2,136.32
8000,1986,4,135,100,11,0,36.11
3000,1410,4,135,50,9,0,31.33
3000,2399,2,135,30,8,2,119.95
10000,5323,7,135,10,14,0,43.45
8000,7894,5,135,100,7,2,180.43
8000,3512,6,135,100,24,0,19.51
12000,9295,4,135,30,4,2,265.57
8000,3629,2,135,30,10,2,145.16
8000,6769,6,135,50,26,0,34.71
8000,4897,7,135,0,1,1,79.95
5000,785,5,135,30,23,0,5.46
12000,1597,7,135,30,27,0,6.76
3000,661,4,135,10,14,0,9.44
10000,1123,6,135,100,5,0,21.39
3000,503,6,135,0,7,0,9.58
12000,8670,6,135,10,26,0,44.46
10000,5809,4,135,50,4,2,165.97
12000,9299,4,135,50,15,2,123.99
8000,7374,7,135,30,25,0,33.71
10000,6266,3,135,30,17,1,98.29
8000,6028,7,135,50,5,1,98.42
3000,2344,5,135,30,4,1,53.58
3000,1320,2,135,0,27,0,19.56
10000,3169,6,135,30,15,0,28.17
10000,2845,3,135,100,12,1,63.22
12000,3915,2,135,30,27,1,58.0
12000,4167,3,135,10,4,2,158.74
8000,2292,7,135,0,12,0,21.83
10000,8903,4,135,10,16,2,111.29
3000,2343,6,135,10,17,0,18.38
